coin|name|inner_coin|inner_name|depositenable|withdrawenable|network
BRY|Berry|BRY|Berry|False|True|BNB Smart Chain(BEP20)
STI|Seek Tiger|STI|Seek Tiger|False|True|BNB Smart Chain(BEP20)
KDA|Kadena|KDA|Kadena|False|False|KDA
FRONT|Frontier|FRONT|Frontier|True|True|Ethereum(ERC20)
STL|Stella Token|STL|Stella Token|True|True|Avalanche C Chain(AVAX CCHAIN)
CERE|Cere Network|CERE|Cere Network|True|True|Ethereum(ERC20)
BSPT|Blocksport|BSPT|Blocksport|True|True|Ethereum(ERC20)
BSPT|Blocksport|BSPT|Blocksport|False|False|BNB Smart Chain(BEP20)
STN|Satino|STN|Satino|True|True|BNB Smart Chain(BEP20)
NERD|Nerd Token|NERD|Nerd Token|True|True|Ethereum(ERC20)
KDG|KingdomStarter|KDG|KingdomStarter|True|True|BNB Smart Chain(BEP20)
STR|Solster Finance|STR|Solster Finance|False|True|Solana(SOL)
NERO|NeroAI|NERO|NeroAI|True|True|Arbitrum One(ARB)
SOLANABABY|Solana Baby|SOLANABABY|Solana Baby|True|True|BNB Smart Chain(BEP20)
CNCB|CNCB Network|CNCB|CNCB Network|False|True|Ethereum(ERC20)
STX|Stacks|STX|Stacks|True|True|STACKS
RING|RING|RING|Darwinia Network|True|True|Ethereum(ERC20)
RING|RING|RING|RING|False|False|Darwinia Smart Chain
VUZZ|VuzzMind|VUZZ|VuzzMind|True|True|Ethereum(ERC20)
SDAO|SingularityDAO|SDAO|SingularityDAO|True|True|Ethereum(ERC20)
SDAO|SingularityDAO|SDAO|SingularityDAO|True|False|BNB Smart Chain(BEP20)
MBOX|Mobox|MBOX|Mobox|True|True|BNB Smart Chain(BEP20)
FLXTOKEN|FLUX|FLXTOKEN|FLUX|False|True|Ethereum(ERC20)
SUC|SUC|SUC|SUC|True|True|Ethereum(ERC20)
SUB|SUB|SUB|SUB|True|True|SUB
BST|Blocksquare Token|BST|Blocksquare Token|True|True|Ethereum(ERC20)
BSV|BitcoinSV|BSV|BitcoinSV|True|True|Bitcoin SV(BSV)
IOST|IOSToken|IOST|IOSToken|True|True|IOST
SUI|SUI|SUI|SUI|True|True|SUI
